state,year,payment_category,type,count,amount,source_file
india,2018,Recharge & bill payments,TOTAL,72550406,14472713558.652578,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2018\1.json
india,2018,Peer-to-peer payments,TOTAL,46982705,147245883542.77402,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2018\1.json
india,2018,Merchant payments,TOTAL,5368669,4656678915.140091,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2018\1.json
india,2018,Financial Services,TOTAL,3762820,815853105.1000277,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2018\1.json
india,2018,Others,TOTAL,5761576,4643217301.269438,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2018\1.json
india,2018,Recharge & bill payments,TOTAL,92033715,24351225616.36898,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2018\2.json
india,2018,Peer-to-peer payments,TOTAL,74558816,264767671095.31842,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2018\2.json
india,2018,Merchant payments,TOTAL,10613941,9052859939.339659,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2018\2.json
india,2018,Financial Services,TOTAL,5186569,1176991419.239996,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2018\2.json
india,2018,Others,TOTAL,4973199,5027454207.140578,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2018\2.json
india,2018,Peer-to-peer payments,TOTAL,202021587,425967421714.0399,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2018\3.json
india,2018,Recharge & bill payments,TOTAL,102290514,31364311860.394596,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2018\3.json
india,2018,Merchant payments,TOTAL,25175938,12433150984.830223,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2018\3.json
india,2018,Financial Services,TOTAL,6218596,891447809.4200314,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2018\3.json
india,2018,Others,TOTAL,5594554,4449556277.54975,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2018\3.json
india,2018,Peer-to-peer payments,TOTAL,200235002,594995709377.7327,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2018\4.json
india,2018,Recharge & bill payments,TOTAL,131917248,39578607327.024284,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2018\4.json
india,2018,Merchant payments,TOTAL,71498510,30497289208.339787,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2018\4.json
india,2018,Financial Services,TOTAL,5216165,868584631.5900131,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2018\4.json
india,2018,Others,TOTAL,8246415,5802659774.449921,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2018\4.json
india,2019,Peer-to-peer payments,TOTAL,404841331,887893108631.5128,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2019\1.json
india,2019,Recharge & bill payments,TOTAL,180504739,55473071028.87885,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2019\1.json
india,2019,Merchant payments,TOTAL,110496541,40575915112.522,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2019\1.json
india,2019,Financial Services,TOTAL,4627353,603852042.0000324,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2019\1.json
