level,region,year,quarter,count,amount,source,state
state,puducherry,2018,1,104212,165825971.36983618,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,tamil nadu,2018,1,6726622,11261557697.516891,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,uttar pradesh,2018,1,12537805,13939970923.223106,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,madhya pradesh,2018,1,8025395,8681603403.446348,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,andhra pradesh,2018,1,9039585,11996276391.823706,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,tripura,2018,1,148157,137978914.53062224,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,lakshadweep,2018,1,778,1928611.1808777403,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,manipur,2018,1,84069,128046173.93020926,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,maharashtra,2018,1,16387034,21711613257.725674,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,dadra & nagar haveli & daman & diu,2018,1,148549,175658384.10921687,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,meghalaya,2018,1,49571,66250259.78990036,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,andaman & nicobar islands,2018,1,6658,14631761.22198579,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,haryana,2018,1,4480770,6793511514.660528,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,rajasthan,2018,1,7591690,8926293130.726837,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,ladakh,2018,1,6089,12532857.771114783,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,punjab,2018,1,1870433,2780758224.854389,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,assam,2018,1,1056881,1157804456.212469,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,jharkhand,2018,1,2178921,2374186389.9194,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,odisha,2018,1,5809821,4627632210.887628,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,bihar,2018,1,5824302,6045758172.017314,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,kerala,2018,1,1771380,2402674753.100502,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,karnataka,2018,1,12016899,19217895314.012802,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,chandigarh,2018,1,381895,613435420.8676233,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,telangana,2018,1,8522766,13308204118.542435,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,himachal pradesh,2018,1,481918,628737806.3723404,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,west bengal,2018,1,11710225,10625978552.140453,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,gujarat,2018,1,5948775,7577982255.034092,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,sikkim,2018,1,44078,64650938.94036834,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,nagaland,2018,1,42845,78005891.08612517,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,mizoram,2018,1,18561,45227219.975790836,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,chhattisgarh,2018,1,1891514,2149155557.2367463,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,jammu & kashmir,2018,1,941568,1005371239.2561305,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,goa,2018,1,160897,303856742.34308386,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,arunachal pradesh,2018,1,45497,92387336.00940911,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,delhi,2018,1,7122754,11211503806.91996,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,uttarakhand,2018,1,1246685,1508545358.5238864,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\1.json,
state,puducherry,2018,2,130261,285801119.5324367,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,tamil nadu,2018,2,9992128,20125844276.267662,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,uttar pradesh,2018,2,17710943,25720201695.701435,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,madhya pradesh,2018,2,10561412,15924081066.680986,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,andhra pradesh,2018,2,12353918,22883914272.633617,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,tripura,2018,2,214559,236891718.7161358,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,lakshadweep,2018,2,2132,6187809.539400538,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,manipur,2018,2,151721,253209721.319494,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,maharashtra,2018,2,22285740,36357057241.12254,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,dadra & nagar haveli & daman & diu,2018,2,202626,302070771.6561514,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,meghalaya,2018,2,67857,117004667.8418316,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,andaman & nicobar islands,2018,2,11340,28338535.507953547,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,haryana,2018,2,6150931,11320414442.116663,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,rajasthan,2018,2,9973697,15559086175.75962,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,ladakh,2018,2,15010,47334902.5377415,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,punjab,2018,2,2581163,4684672212.007125,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,assam,2018,2,1663873,2350585135.537811,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,jharkhand,2018,2,3152080,4721575659.062912,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,odisha,2018,2,8158144,8488310339.620239,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,bihar,2018,2,8632378,13506131109.672922,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,kerala,2018,2,2308165,3886923343.44263,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,karnataka,2018,2,17116447,33515580081.29709,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,chandigarh,2018,2,479084,961223261.74473,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,telangana,2018,2,10764670,23017201517.652737,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,himachal pradesh,2018,2,687695,1183169301.3511178,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
state,west bengal,2018,2,18082446,18629183470.204285,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\2.json,
