category,level,region,year,quarter,count,amount
transaction,state,maharashtra,2018,1,16387034,21711613257.725674
transaction,state,uttar pradesh,2018,1,12537805,13939970923.223106
transaction,state,karnataka,2018,1,12016899,19217895314.012802
transaction,state,west bengal,2018,1,11710225,10625978552.140453
transaction,state,andhra pradesh,2018,1,9039585,11996276391.823706
transaction,state,telangana,2018,1,8522766,13308204118.542435
transaction,state,madhya pradesh,2018,1,8025395,8681603403.446348
transaction,state,rajasthan,2018,1,7591690,8926293130.72684
transaction,state,delhi,2018,1,7122754,11211503806.91996
transaction,state,tamil nadu,2018,1,6726622,11261557697.516891
transaction,district,bengaluru urban,2018,1,8306513,14162750303.06484
transaction,district,pune,2018,1,3842929,5378982326.835919
transaction,district,central delhi,2018,1,2997714,4312145216.274474
transaction,district,mumbai,2018,1,2671029,3923116793.952079
transaction,district,chennai,2018,1,2656230,4281137762.522443
transaction,district,hyderabad,2018,1,2545507,4287223789.76588
transaction,district,jaipur,2018,1,2417174,2953086960.1413727
transaction,district,birbhum,2018,1,2125816,2520486412.452376
transaction,district,kolkata,2018,1,2043129,2753347660.1429114
transaction,district,bhopal,2018,1,1704495,1905473874.8326716
transaction,pincode,560001,2018,1,2917356,4684262246.184548
transaction,pincode,110006,2018,1,2636324,3714139312.238586
transaction,pincode,400008,2018,1,2227885,3105208723.475169
transaction,pincode,600003,2018,1,2010196,2997847000.265506
transaction,pincode,731101,2018,1,1764956,2366771285.7278423
transaction,pincode,700009,2018,1,1390629,1851145374.4001179
transaction,pincode,411001,2018,1,1055656,1413523605.5956619
transaction,pincode,500012,2018,1,933013,1643061976.4262943
transaction,pincode,462001,2018,1,832846,898730606.684653
transaction,pincode,201301,2018,1,690196,987613438.9540119
transaction,state,maharashtra,2018,2,22285740,36357057241.12254
transaction,state,west bengal,2018,2,18082446,18629183470.204285
transaction,state,uttar pradesh,2018,2,17710943,25720201695.701435
transaction,state,karnataka,2018,2,17116447,33515580081.29709
transaction,state,andhra pradesh,2018,2,12353918,22883914272.633617
transaction,state,telangana,2018,2,10764670,23017201517.652737
transaction,state,madhya pradesh,2018,2,10561412,15924081066.680984
transaction,state,tamil nadu,2018,2,9992128,20125844276.267662
transaction,state,rajasthan,2018,2,9973697,15559086175.759623
transaction,state,delhi,2018,2,9373723,17446299902.205147
transaction,district,bengaluru urban,2018,2,11916035,23824727965.49048
transaction,district,pune,2018,2,5162876,8513428062.925206
transaction,district,chennai,2018,2,3719593,7305357440.752291
