category,level,region,year,quarter,registered_users
user,state,maharashtra,2018,1,6106994
user,state,uttar pradesh,2018,1,4694250
user,state,karnataka,2018,1,3717763
user,state,andhra pradesh,2018,1,3336450
user,state,telangana,2018,1,3315560
user,state,rajasthan,2018,1,3158202
user,state,gujarat,2018,1,2690048
user,state,west bengal,2018,1,2604789
user,state,madhya pradesh,2018,1,2553603
user,state,bihar,2018,1,2133804
user,district,bengaluru urban,2018,1,1922368
user,district,pune,2018,1,1211643
user,district,jaipur,2018,1,900773
user,district,mumbai suburban,2018,1,719300
user,district,hyderabad,2018,1,655175
user,district,rangareddy,2018,1,635175
user,district,thane,2018,1,631864
user,district,ahmadabad,2018,1,572811
user,district,medchal malkajgiri,2018,1,549429
user,district,visakhapatnam,2018,1,497187
user,pincode,201301,2018,1,114625
user,pincode,500072,2018,1,105012
user,pincode,560068,2018,1,98487
user,pincode,110059,2018,1,95496
user,pincode,110092,2018,1,83600
user,pincode,122001,2018,1,82656
user,pincode,560037,2018,1,75304
user,pincode,395006,2018,1,72275
user,pincode,800001,2018,1,71092
user,pincode,302012,2018,1,68098
user,state,maharashtra,2018,2,8222371
user,state,uttar pradesh,2018,2,6442554
user,state,karnataka,2018,2,5030665
user,state,andhra pradesh,2018,2,4402540
user,state,telangana,2018,2,4260115
user,state,rajasthan,2018,2,4212964
user,state,west bengal,2018,2,3833795
user,state,gujarat,2018,2,3565825
user,state,madhya pradesh,2018,2,3441662
user,state,bihar,2018,2,3005872
user,district,bengaluru urban,2018,2,2553312
user,district,pune,2018,2,1592293
user,district,jaipur,2018,2,1182983
user,district,mumbai suburban,2018,2,957633
user,district,thane,2018,2,861292
user,district,hyderabad,2018,2,842483
user,district,rangareddy,2018,2,804959
user,district,ahmadabad,2018,2,751746
user,district,medchal malkajgiri,2018,2,696211
user,district,surat,2018,2,652372
user,pincode,201301,2018,2,151073
user,pincode,500072,2018,2,129543
user,pincode,560068,2018,2,128921
user,pincode,110059,2018,2,124901
user,pincode,110092,2018,2,108175
user,pincode,122001,2018,2,107275
user,pincode,800001,2018,2,94711
user,pincode,395006,2018,2,94500
user,pincode,560037,2018,2,93771
user,pincode,302012,2018,2,89071
user,state,maharashtra,2018,3,10435033
user,state,uttar pradesh,2018,3,8096483
user,state,karnataka,2018,3,6372649
user,state,andhra pradesh,2018,3,5427617
user,state,rajasthan,2018,3,5175453
user,state,telangana,2018,3,5138501
user,state,west bengal,2018,3,4851740
user,state,gujarat,2018,3,4433183
user,state,madhya pradesh,2018,3,4309309
user,state,tamil nadu,2018,3,3900177
user,district,bengaluru urban,2018,3,3167597
user,district,pune,2018,3,1974138
user,district,jaipur,2018,3,1438305
user,district,mumbai suburban,2018,3,1218632
user,district,thane,2018,3,1104206
user,district,hyderabad,2018,3,1024241
user,district,rangareddy,2018,3,963186
user,district,ahmadabad,2018,3,919252
user,district,medchal malkajgiri,2018,3,828425
user,district,surat,2018,3,808005
user,pincode,201301,2018,3,188664
user,pincode,110059,2018,3,156028
user,pincode,500072,2018,3,152034
user,pincode,560068,2018,3,151862
user,pincode,110092,2018,3,136676
user,pincode,122001,2018,3,130847
user,pincode,395006,2018,3,113391
user,pincode,302012,2018,3,107088
user,pincode,560037,2018,3,106572
user,pincode,800001,2018,3,106255
user,state,maharashtra,2018,4,13381602
user,state,uttar pradesh,2018,4,10341964
user,state,karnataka,2018,4,8315802
user,state,andhra pradesh,2018,4,6857409
user,state,telangana,2018,4,6529679
user,state,rajasthan,2018,4,6358738
user,state,west bengal,2018,4,6279278
user,state,gujarat,2018,4,5579040
user,state,madhya pradesh,2018,4,5365442
user,state,tamil nadu,2018,4,5199878
user,district,bengaluru urban,2018,4,4126734
user,district,pune,2018,4,2498852
user,district,jaipur,2018,4,1733893
user,district,mumbai suburban,2018,4,1578487
user,district,thane,2018,4,1473811
user,district,hyderabad,2018,4,1336872
user,district,rangareddy,2018,4,1217664
user,district,ahmadabad,2018,4,1212636
user,district,medchal malkajgiri,2018,4,1056739
user,district,surat,2018,4,998807
user,pincode,201301,2018,4,250205
user,pincode,110059,2018,4,206537
user,pincode,560068,2018,4,201605
user,pincode,110092,2018,4,177133
user,pincode,500072,2018,4,175163
user,pincode,122001,2018,4,163556
user,pincode,560037,2018,4,137280
user,pincode,800001,2018,4,134254
user,pincode,110086,2018,4,133412
user,pincode,110085,2018,4,132600
user,state,maharashtra,2019,1,16284451
user,state,uttar pradesh,2019,1,12458661
user,state,karnataka,2019,1,10266174
user,state,andhra pradesh,2019,1,8283019
user,state,telangana,2019,1,7963425
user,state,rajasthan,2019,1,7712204
user,state,west bengal,2019,1,7449425
user,state,gujarat,2019,1,6652536
user,state,madhya pradesh,2019,1,6414403
user,state,tamil nadu,2019,1,6296303
user,district,bengaluru urban,2019,1,5003207
user,district,pune,2019,1,3038402
user,district,jaipur,2019,1,2060175
user,district,mumbai suburban,2019,1,1901210
user,district,thane,2019,1,1834051
user,district,hyderabad,2019,1,1638436
user,district,rangareddy,2019,1,1470874
user,district,ahmadabad,2019,1,1450100
user,district,medchal malkajgiri,2019,1,1279531
user,district,surat,2019,1,1180819
user,pincode,201301,2019,1,301260
user,pincode,110059,2019,1,246566
user,pincode,560068,2019,1,237280
user,pincode,500072,2019,1,221180
user,pincode,110092,2019,1,206805
user,pincode,122001,2019,1,194366
user,pincode,110086,2019,1,158267
